id_pelicula,titulo,popularidad,promedio_votos,cantidad_votos,presupuesto,ingresos,codigo_idioma_iso,nombre_compania_produccion,nombre_pais,fecha_estreno,nombre_actor,director,porcentage_ganancias,Action,Adventure,Animation,Comedy,Crime,Desconocido,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
75,Mars Attacks!,15.63,6.1,1544.0,70000000,101371017,en,Tim Burton Productions,United States of America,1996-12-12,Jack Nicholson,Tim Burton,144.82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Before Sunrise,11.3,7.699999999999999,984.0,2500000,5535405,en,Detour Film Production,Austria,1995-01-27,Ethan Hawke,Richard Linklater,221.42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Memento,15.45,8.1,4168.0,9000000,39723096,en,Summit Entertainment,United States of America,2000-10-11,Guy Pearce,Christopher Nolan,441.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
78,Blade Runner,96.27,7.9,3833.0,28000000,33139618,en,Shaw Brothers,United States of America,1982-06-25,Harrison Ford,Ridley Scott,118.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
79,Hero,9.86,7.3,647.0,31000000,177394432,zh,Beijing New Picture Film Co. Ltd.,China,2002-12-19,Jet Li,Zhang Yimou,572.24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Before Sunset,7.05,7.599999999999999,734.0,2700000,15992615,en,Castle Rock Entertainment,United States of America,2004-02-10,Ethan Hawke,Richard Linklater,592.32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Nausicaä of the Valley of the Wind,11.27,7.7,808.0,1000000,3301446,ja,Topcraft,Japan,1984-03-11,Sumi Shimamoto,Hayao Miyazaki,330.14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Miami Vice,11.73,5.7,494.0,135000000,163794509,en,Universal Pictures,Uruguay,2006-07-27,Jamie Foxx,Michael Mann,121.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Open Water,10.65,5.3,320.0,130000,54667954,en,Plunge Pictures LLC,United States of America,2004-08-06,Blanchard Ryan,Chris Kentis,42052.27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Raiders of the Lost Ark,19.9,7.7,3949.0,18000000,389925971,en,Lucasfilm,United States of America,1981-06-12,Harrison Ford,Steven Spielberg,2166.26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Indiana Jones and the Temple of Doom,15.8,7.1,2841.0,28000000,333000000,en,Lucasfilm,United States of America,1984-05-23,Harrison Ford,Steven Spielberg,1189.29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Dirty Dancing,14.04,7.1,1371.0,6000000,213954274,en,Great American Films Limited Partnership,United States of America,1987-08-21,Jennifer Grey,Emile Ardolino,3565.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Indiana Jones and the Last Crusade,14.79,7.599999999999999,3221.0,48000000,474171806,de,Lucasfilm,United States of America,1989-05-24,Harrison Ford,Steven Spielberg,987.86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Beverly Hills Cop,8.5,6.8,985.0,15000000,316360478,en,Paramount Pictures,United States of America,1984-11-29,Eddie Murphy,Martin Brest,2109.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Armageddon,13.24,6.5,2540.0,140000000,553799566,en,Jerry Bruckheimer Films,United States of America,1998-07-01,Bruce Willis,Michael Bay,395.57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Beverly Hills Cop II,9.2,6.099999999999999,627.0,20000000,299965036,en,Paramount Pictures,United States of America,1987-05-18,Eddie Murphy,Tony Scott,1499.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Tron,16.57,6.6,717.0,17000000,33000000,en,Walt Disney Pictures,United States of America,1982-07-09,Jeff Bridges,Steven Lisberger,194.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98,Gladiator,23.19,7.9,5566.0,103000000,457640427,en,DreamWorks SKG,United Kingdom,2000-05-01,Russell Crowe,Ridley Scott,444.31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,All About My Mother,10.0,7.4,337.0,8272296,67872296,es,Renn Productions,Spain,1999-04-19,Cecilia Roth,Pedro Almodóvar,820.48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,"Lock, Stock and Two Smoking Barrels",4.61,7.5,1671.0,1350000,3897569,en,Handmade Films Ltd.,United Kingdom,1998-03-05,Jason Flemyng,Guy Ritchie,288.71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Leon: The Professional,20.48,8.2,4293.0,16000000,45284974,en,Columbia Pictures,France,1994-09-14,Jean Reno,Luc Besson,283.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103,Taxi Driver,14.089999999999998,8.1,2632.0,1300000,28262574,en,Columbia Pictures Corporation,United States of America,1976-02-07,Robert De Niro,Martin Scorsese,2174.04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Run Lola Run,7.77,7.2,672.0,1530000,7267585,de,X-Filme Creative Pool,Germany,1998-08-20,Franka Potente,Tom Tykwer,475.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Back to the Future,25.78,8.0,6239.0,19000000,381109762,en,Universal Pictures,United States of America,1985-07-03,Michael J. Fox,Robert Zemeckis,2005.84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Predator,18.5,7.3,2129.0,18000000,98235548,en,Twentieth Century Fox Film Corporation,United States of America,1987-06-11,Arnold Schwarzenegger,John McTiernan,545.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
107,Snatch,14.01,7.7,2953.0,10000000,83557872,en,Columbia Pictures Corporation,United Kingdom,2000-09-01,Benicio del Toro,Guy Ritchie,835.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
111,Scarface,11.3,8.0,3017.0,25000000,65884703,en,Universal Pictures,United States of America,1983-12-08,Al Pacino,Brian De Palma,263.54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Pretty Woman,13.35,7.0,1807.0,14000000,463000000,en,Touchstone Pictures,United States of America,1990-03-23,Julia Roberts,Garry Marshall,3307.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
115,The Big Lebowski,15.949999999999998,7.8,3001.0,15000000,46189568,en,Gramercy Pictures,United Kingdom,1998-03-06,Jeff Bridges,Joel Coen,307.93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Match Point,9.02,7.2,1134.0,15000000,85306374,en,DreamWorks,Ireland,2005-10-26,Jonathan Rhys Meyers,Woody Allen,568.71,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
117,The Untouchables,11.06,7.6,1424.0,25000000,76270454,en,Paramount Pictures,United States of America,1987-06-02,Kevin Costner,Brian De Palma,305.08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Charlie and the Chocolate Factory,22.04,6.7,3759.0,150000000,474968763,en,Village Roadshow Pictures,Australia,2005-07-13,Johnny Depp,Tim Burton,316.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,The Lord of the Rings: The Fellowship of the Ring,32.07,8.0,8892.0,93000000,871368364,en,WingNut Films,New Zealand,2001-12-18,Elijah Wood,Peter Jackson,936.96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,The Lord of the Rings: The Two Towers,29.42,8.0,7641.0,79000000,926287400,en,WingNut Films,New Zealand,2002-12-18,Elijah Wood,Peter Jackson,1172.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,The Lord of the Rings: The Return of the King,29.32,8.1,8226.0,94000000,1118888979,en,WingNut Films,New Zealand,2003-12-01,Elijah Wood,Peter Jackson,1190.31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,The Lord of the Rings,7.91,6.1,187.0,4000000,30471420,en,United Artists,United States of America,1978-11-15,Christopher Guard,Ralph Bakshi,761.79,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
128,Princess Mononoke,17.17,8.2,2041.0,26500000,159375308,ja,Miramax Films,Japan,1997-07-12,Yōji Matsuda,Hayao Miyazaki,601.42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Spirited Away,41.05,8.3,3968.0,15000000,274925095,ja,Studio Ghibli,Japan,2001-07-20,Rumi Hiiragi,Hayao Miyazaki,1832.83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134,"O Brother, Where Art Thou?",12.43,7.3,1144.0,26000000,71868327,en,Universal Pictures,France,2000-08-30,George Clooney,Joel Coen,276.42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Groundhog Day,12.99,7.400000000000001,2358.0,14600000,70906973,en,Columbia Pictures,United States of America,1993-02-11,Bill Murray,Harold Ramis,485.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
138,Dracula,7.5,7.2,254.0,355000,1012189,en,Universal Pictures,United States of America,1931-02-12,Bela Lugosi,Tod Browning,285.12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
140,Bad Education,7.66,7.099999999999999,223.0,5000000,40266982,es,Televisión Española TVE,Spain,2004-03-19,Gael García Bernal,Pedro Almodóvar,805.34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Donnie Darko,18.3,7.7,3574.0,6000000,1270522,en,Pandora Cinema,United States of America,2001-01-18,Jake Gyllenhaal,Richard Kelly,21.18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
142,Brokeback Mountain,11.79,7.5,1531.0,14000000,178043761,en,River Road Entertainment,Canada,2005-09-02,Heath Ledger,Ang Lee,1271.74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Wings of Desire,6.36,7.5,256.0,2500000,3200000,en,Road Movies Filmproduktion GmbH,Germany,1987-01-01,Bruno Ganz,Wim Wenders,128.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
146,"Crouching Tiger, Hidden Dragon",19.94,7.2,949.0,17000000,213525736,zh,Sony Pictures Classics,China,2000-10-01,Chow Yun-fat,Ang Lee,1256.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Akira,10.89,7.8,792.0,8000000,553171,ja,Bandai Visual Company,Japan,1988-07-16,Mitsuo Iwata,Katsuhiro Ōtomo,6.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
150,48 Hrs.,15.3,6.5,364.0,12000000,78868508,en,Paramount Pictures,United States of America,1982-12-07,Nick Nolte,Walter Hill,657.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
152,Star Trek: The Motion Picture,8.28,6.2,541.0,35000000,139000000,en,Paramount Pictures,United States of America,1979-12-06,William Shatner,Robert Wise,397.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
153,Lost in Translation,11.61,7.3,1943.0,4000000,119723856,ja,American Zoetrope,Japan,2003-08-31,Bill Murray,Sofia Coppola,2993.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Star Trek II: The Wrath of Khan,7.16,7.3,688.0,12000000,96800000,en,Paramount Pictures,United States of America,1982-06-03,William Shatner,Nicholas Meyer,806.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,The Dark Knight,123.17,8.3,12269.0,185000000,1004558444,en,DC Comics,United Kingdom,2008-07-16,Christian Bale,Christopher Nolan,543.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Star Trek III: The Search for Spock,6.2,6.4,443.0,18000000,87000000,en,Paramount Pictures,United States of America,1984-05-31,William Shatner,Leonard Nimoy,483.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
161,Ocean's Eleven,12.11,7.2,3857.0,85000000,450717150,it,Village Roadshow Pictures,United States of America,2001-12-07,George Clooney,Steven Soderbergh,530.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
162,Edward Scissorhands,17.61,7.5,3731.0,20000000,53000000,en,Twentieth Century Fox Film Corporation,United States of America,1990-12-05,Johnny Depp,Tim Burton,265.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
163,Ocean's Twelve,11.87,6.4,2169.0,110000000,362744280,fr,Village Roadshow Pictures,United States of America,2004-12-09,George Clooney,Steven Soderbergh,329.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
164,Breakfast at Tiffany's,10.88,7.6,1082.0,2500000,9500000,en,Paramount Pictures,United States of America,1961-10-05,Audrey Hepburn,Blake Edwards,380.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Back to the Future Part II,13.69,7.400000000000001,3926.0,40000000,332000000,en,Universal Pictures,United States of America,1989-11-20,Michael J. Fox,Robert Zemeckis,830.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,K-PAX,12.4,7.099999999999999,710.0,48000000,50315140,en,Intermedia Films,Germany,2001-10-22,Jeff Bridges,Iain Softley,104.82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Star Trek IV: The Voyage Home,12.6,6.9,490.0,24000000,133000000,en,Paramount Pictures,United States of America,1986-11-25,William Shatner,Leonard Nimoy,554.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
169,Predator 2,11.74,6.0,743.0,35000000,57120318,en,Twentieth Century Fox Film Corporation,United States of America,1990-11-20,Kevin Peter Hall,Stephen Hopkins,163.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
170,28 Days Later,17.66,7.1,1816.0,5000000,82719885,es,DNA Films,United Kingdom,2002-10-31,Cillian Murphy,Danny Boyle,1654.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
172,Star Trek V: The Final Frontier,12.31,5.6,384.0,30000000,70200000,en,Paramount Pictures,United States of America,1989-06-09,William Shatner,William Shatner,234.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
173,"20,000 Leagues Under the Sea",8.72,6.9,160.0,5000000,28200000,en,Walt Disney Productions,United States of America,1954-12-23,Kirk Douglas,Richard Fleischer,564.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Star Trek VI: The Undiscovered Country,5.9,6.7,421.0,27000000,96900000,en,Paramount Pictures,United States of America,1991-12-05,William Shatner,Nicholas Meyer,358.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
176,Saw,23.51,7.2,2255.0,1200000,103911669,en,Lions Gate Films,United States of America,2004-10-01,Cary Elwes,James Wan,8659.31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
177,The Fisher King,11.18,7.2,346.0,24000000,41895491,en,TriStar Pictures,United States of America,1991-09-09,Jeff Bridges,Terry Gilliam,174.56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,The Interpreter,12.05,6.2,400.0,80000000,162944923,en,Universal Pictures,France,2005-04-08,Nicole Kidman,Sydney Pollack,203.68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Minority Report,20.669999999999998,7.1,2663.0,102000000,358372926,en,DreamWorks SKG,United States of America,2002-06-20,Tom Cruise,Steven Spielberg,351.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,The Good German,5.29,5.900000000000001,87.0,32000000,5914908,en,Warner Bros.,United States of America,2006-12-08,George Clooney,Steven Soderbergh,18.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
183,The Wizard,5.76,6.1,83.0,6000000,14278900,en,Universal Pictures,United States of America,1989-12-15,Fred Savage,Todd Holland,237.98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Jackie Brown,16.42,7.3,1580.0,12000000,39673162,en,Miramax Films,United States of America,1997-12-24,Pam Grier,Quentin Tarantino,330.61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,A Clockwork Orange,17.11,8.0,3432.0,2200000,26589000,en,Hawk Films,United Kingdom,1971-12-18,Malcolm McDowell,Stanley Kubrick,1208.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
186,Lucky Number Slevin,11.15,7.400000000000001,1356.0,27000000,56308881,en,The Weinstein Company,Germany,2006-02-24,Josh Hartnett,Paul McGuigan,208.55000000000004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Sin City,15.01,7.2,2755.0,40000000,158733820,en,Dimension Films,United States of America,2005-04-01,Jessica Alba,Robert Rodriguez,396.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Sin City: A Dame to Kill For,20.62,6.3,1314.0,65000000,39407616,en,Miramax Films,United States of America,2014-08-20,Mickey Rourke,Robert Rodriguez,60.63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,The Name of the Rose,11.47,7.2,739.0,20000000,77200000,en,Zweites Deutsches Fernsehen (ZDF),France,1986-09-24,Sean Connery,Jean-Jacques Annaud,386.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Star Trek: Generations,8.11,6.4,461.0,38000000,120000000,en,Paramount Pictures,United States of America,1994-11-17,Patrick Stewart,David Carson,315.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
194,Amélie,12.88,7.800000000000001,3403.0,10000000,173921954,fr,France 3 Cinéma,France,2001-04-25,Audrey Tautou,Jean-Pierre Jeunet,1739.22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Back to the Future Part III,13.04,7.099999999999999,2978.0,40000000,244527583,en,Universal Pictures,United States of America,1990-05-25,Michael J. Fox,Robert Zemeckis,611.32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Braveheart,20.76,7.7,3404.0,72000000,210000000,en,Icon Entertainment International,United States of America,1995-05-24,Mel Gibson,Mel Gibson,291.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Star Trek: First Contact,8.81,7.0,671.0,46000000,150000000,en,Paramount Pictures,United States of America,1996-11-21,Patrick Stewart,Jonathan Frakes,326.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
200,Star Trek: Insurrection,9.54,6.3,402.0,70000000,118000000,en,Paramount Pictures,United States of America,1998-12-10,Patrick Stewart,Jonathan Frakes,168.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
